trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.3, 'e': 0.559898366565402}",20,11,11.309548916080605,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.3, 'e': 0.5543272847345071}",20,0,-2.8761006294988,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.3, 'e': 0.5488116360940265}",20,0,-8.311103111379472,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.3, 'e': 0.5433508690744998}",25,13,7.59876286973326,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.3, 'e': 0.5379444375946745}",20,0,-32.75357828867428,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.3, 'e': 0.5325918010068972}",20,0,-118.42666622685577,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
64,False,"{'a': 0.3, 'e': 0.5272924240430485}",20,6,-68.0491462113815,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 1}",1
65,False,"{'a': 0.3, 'e': 0.522045776761016}",25,19,5.859933041001713,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.3, 'e': 0.5168513344916992}",30,14,5.615168713461483,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.3, 'e': 0.5117085777865424}",25,10,3.806045673643565,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.3, 'e': 0.5066169923655895}",25,17,-0.11945103457431183,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.3, 'e': 0.5015760690660555}",20,4,-121.45263185627603,"{0: 6, 1: 5, 2: 3, 3: 0, 4: 2}",1
70,False,"{'a': 0.3, 'e': 0.49658530379140947}",25,18,0.6378024224007495,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.3, 'e': 0.4916441974609651}",30,16,17.751840965436944,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.3, 'e': 0.4867522559599717}",20,15,-14.409573519328907,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.3, 'e': 0.48190899009020244}",25,15,15.607867916959222,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.3, 'e': 0.4771139155210344}",20,0,-34.121557760921725,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
75,False,"{'a': 0.3, 'e': 0.4723665527410147}",20,0,-80.91197662957698,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
76,False,"{'a': 0.3, 'e': 0.46766642700990924}",25,10,-18.678069829111855,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
77,False,"{'a': 0.3, 'e': 0.46301306831122807}",20,3,-38.53911628881073,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 0}",1
78,False,"{'a': 0.3, 'e': 0.4584060113052235}",20,8,-12.615837913064862,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
79,False,"{'a': 0.3, 'e': 0.45384479528235583}",20,0,-20.480138528304067,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
80,False,"{'a': 0.3, 'e': 0.44932896411722156}",25,11,-15.1154061758634,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.3, 'e': 0.4448580662229411}",25,0,-61.776718513015204,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.3, 'e': 0.44043165450599925}",25,3,-38.79815124942883,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
83,False,"{'a': 0.3, 'e': 0.43604928632153556}",25,2,4.256766146447328,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.3, 'e': 0.43171052342907973}",30,20,-36.04001384868247,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.3, 'e': 0.4274149319487267}",25,0,-49.07263059991632,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
86,False,"{'a': 0.3, 'e': 0.4231620823177488}",25,1,-18.93409003514278,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
87,False,"{'a': 0.3, 'e': 0.418951549247639}",30,16,-31.756805568727327,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.3, 'e': 0.4147829116815814}",30,4,-59.294062162476116,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 2}",1
89,False,"{'a': 0.3, 'e': 0.4106557527523455}",25,0,-9.235998040940625,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.3, 'e': 0.4065696597405991}",20,0,5.935177786053594,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.3, 'e': 0.40252422403363597}",30,10,-18.300974241080954,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.3, 'e': 0.39851904108451414}",25,0,-7.708637691115273,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.3, 'e': 0.3945537103716011}",25,16,2.270701394326142,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.3, 'e': 0.3906278353585211}",20,6,-61.45488732295317,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.3, 'e': 0.3867410234545012}",25,0,-15.21218461402033,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.3, 'e': 0.38289288597511206}",20,15,4.735236301445876,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.3, 'e': 0.37908303810339883}",25,12,-31.82122763420738,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.3, 'e': 0.37531109885139957}",20,14,5.3530888105977485,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.3, 'e': 0.3715766910220457}",25,11,-21.22844111462532,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.3, 'e': 0.36787944117144233}",20,0,-6.753827020016908,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.3, 'e': 0.3642189795715233}",25,14,8.16287787046695,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.3, 'e': 0.3605949401730783}",25,0,-18.706136966689638,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
103,False,"{'a': 0.3, 'e': 0.3570069605691474}",20,7,3.812797467933451,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.3, 'e': 0.35345468195878016}",30,7,-18.366679466123518,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.3, 'e': 0.3499377491111553}",30,6,-21.97101192346778,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.3, 'e': 0.3464558103300574}",25,18,2.5150683352103917,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.3, 'e': 0.34300851741870664}",25,3,26.644660207173935,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
